Country Name,Country Code,Year,Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kg per 2011 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CPIA public sector management and institutions cluster average (1=low to 6=high),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),Forest area (sq. km),Land area where elevation is below 5 meters (% of total land area),Marine protected areas (% of territorial waters),Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),"Mortality rate, under-5 (per 1,000 live births)",Nitrous oxide emissions (% change from 1990),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Population growth (annual %),Population living in areas where elevation is below 5 meters (% of total population),"Population, total","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population living in areas where elevation is below 5 meters (% of total population),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total greenhouse gas emissions (kt of CO2 equivalent),Urban land area where elevation is below 5 meters (% of total land area),Urban land area where elevation is below 5 meters (sq. km),Urban population,Urban population (% of total),Urban population growth (annual %),Urban population living in areas where elevation is below 5 meters (% of total population)
Central African Republic,CAF,1992,1.081371188,8.058043597,50200,43.93173554,3.098012777,0.168734446,0.085491567,0.125157803,216.353,0.069885817,0,0,100,216.353,0,0,0,0,-0.756175026,36.16295868,225288,0,0,-13.2109588,36670.8,175.9,-13.10104996,44309.54,-6.707978449,49169.46667,2.657350267,0,3095807,0,22.43461037,81.25,94.1078509,0,0,0,0.619650006,0,0,130433.5077,0,0,1145046,36.987,2.876586473,0
Iraq,IRQ,1992,94.13063812,21.83505956,95500,19.87057417,12.11788646,1.740065307,0.616081566,0.901930069,59112.04,3.202483538,7.375930521,4360.063,90.74441687,53640.876,0,0,0,0,0,1.844662414,8068,0,0,-43.42739771,12118.7,51.9,-19.37859383,3824.873,1.33200123,3296.33,2.832382893,0,18458187,0,0,2.766798419,0.490534585,0,0,0,0,0,0,79840.903,0,0,12798353,69.337,2.565927038,0
Nauru,NRU,1992,100,20,4,0,0,0,0,0,121.011,12.67661848,0,0,100,121.011,0,0,0,0,0,0,0,0,0,7.571759271,2.05859,54.9,9.090835939,0.21013691,-250,-3.33E-16,2.095980191,0,9546,0,0,0,0,0,0,0,0,0,0,0,0,0,9546,100,2.095980191,0
Slovenia,SVN,1992,100,28.00397219,5640,0,9.930486594,0,0,0,12478.801,6.250344854,11.28416103,1408.128,38.02527182,4745.098,47.45812518,5922.205,0,0,0,59.43396226,11970,0,0,-9.426915774,2747.77,9.1,-19.79903574,1017.4324,-21.39367002,741.775,-0.146699403,0,1996498,0,0,27.73007129,13.90084403,0,0,0,0,0,0,17825.1774,0,0,1009090,50.543,-0.095288006,0
World,WLD,1992,72.58175875,37.54528429,48614112.8,0,10.81606604,0.566387694,0.455231961,0.701132565,22183417.49,4.063080139,17.93544661,3978695,41.28673688,9158809.21,37.44384015,8306323.385,0,0,0.617702491,31.68808922,41137360.3,0,0,2.671413447,6846520,90.8,4.167090952,3076061.8,23.12899754,7316673.189,1.567583004,0,5459753865,0,80.95651245,19.15839696,17.58433435,0,0,0,0.87787,0,0,39824354.99,0,0,2387958912,43.75322908,2.370107376,0
"Yemen, Rep.",YEM,1992,44.1,44.47411785,234810,24.17753092,2.60999678,0.737885644,0.215699655,0.315779623,9952.238,0.746851976,0,0,95.98378777,9552.535,0,0,0,0,11.10827476,1.039831809,5490,0,0,0.586373838,3935.12,119.3,-0.946954378,2050.0052,-1.111,2.96667,5.11108247,0,13325583,0,0,0,1.580225951,0,0,0,0,0,0,15337.67187,0,0,2939357,22.058,7.724504833,0
Grenada,GRD,1992,82.51274872,35.29411765,120,7.784764206,5.882352941,0.254078248,0.167423128,0.245103833,117.344,1.207267639,0,0,100,117.344,0,0,0,0,7.280580708,49.97058824,169.9,0,0,3.098902253,25.5177,21.2,2.807878201,10.108635,4.04040404,1.854,0.768392437,0,97198,0,0,0,7.737627143,0,0,0,0,0,0,157.733335,0,0,32798,33.744,1.483601921,0
Sao Tome and Principe,STP,1992,44.62519073,43.75,420,0,2.083333333,0,0,0,47.671,0.401217008,0,0,100,47.671,0,0,0,0,0,58.33333333,560,0,0,5.805312441,30.4404,109.4,6.800697815,6.623398,0,4,2.145461051,0,118816,0,0,46.66666667,54.17745362,0,0,0,0,0,0,101.306498,0,0,54375,45.764,4.28931033,0
Sweden,SWE,1992,100,8.149339572,33440,2.494559001,6.738314568,0.162653521,0.197249206,0.287123543,51026.305,5.886699422,3.126122889,1595.145,75.51563061,38532.836,19.12324829,9757.887,0,0,-0.00193309,68.43836818,280830,0,0,-1.849665828,11307.9,6.2,-2.350899407,6837.391,-12.18305946,1038.84072,0.586529929,0,8668067,0,100.5098419,52.33321456,33.23216078,0,0,0,1.023020029,0,0,79779.73172,0,0,7225787,83.361,0.775036132,0
Vietnam,VNM,1992,76.61323547,21.58284433,70250,33.93858792,16.91603429,0.633310128,0.188257492,0.27560489,21477.619,0.30194691,0,0,39.69609015,8525.775,51.01587844,10956.996,0,0,4.803347775,30.21843989,98358,0,0,4.84441196,63403.4,46.5,14.07702204,13248.935,2.845751823,5901.389,2.073273135,0,71130448,0,0,74.47707367,74.70197167,0,0,0,0,0,0,104778.224,0,0,14941662,21.006,3.884302196,0
"Iran, Islamic Rep.",IRN,1992,96.08421326,39.16292149,637870,12.05433007,10.41835507,0.847763119,0.308620563,0.451813819,228468.768,3.921487709,23.0627247,52691.123,62.61716744,143060.671,1.483050847,3388.308,0,0,0,5.603023159,91259.8,0,0,8.270630319,61442.5,50.7,15.54521717,22304.717,9.998811667,3054.667,1.530957183,0,58260738,0,91.94017792,13.87675462,1.44947072,0,0,0,0.85165,0,0,328777.884,0,0,33589063,57.653,2.907180455,0
Lebanon,LBN,1992,98.26875305,59.23753666,6060,0,17.59530792,0.627220766,0.337720689,0.494415773,10359.275,3.67107782,0,0,92.77876106,9611.207,0,0,0,0,0,12.8054741,1310,0,0,8.588193329,758.014,29.5,20.49273331,447.7175,-1.111,2.96667,2.490116686,0,2821862,0,0,19.09307876,8.044073781,0,0,0,1.047099948,0,0,0,0,0,2365228,83.818,2.903761414,0
Jamaica,JAM,1992,77.50783539,43.95198523,4760,0,12.55771006,0.697862891,0.408673068,0.598288519,7715.368,3.129507147,0,0,94.62927757,7300.997,2.281368821,176.016,0,0,4.032974381,31.75069252,3438.6,0,0,11.29187532,1375.69,28.7,7.62225097,515.7904,2.968514026,82.3824,0.882986989,0,2465362,7,0,4.47611903,8.675913055,0,0,0,0,0,0,10249.7128,0,0,1230117,49.896,1.365163382,0
Pakistan,PAK,1992,63.07523727,45.89559983,353800,23.42956047,38.81278539,0.805324523,0.195548288,0.286278458,72789.95,0.639927766,35.08312343,25536.988,48.08564232,35001.515,11.49622166,8368.094,0,0,0.691844625,3.171440432,24448,0,0,3.057776975,93584.5,134,13.38475476,20912.166,-18.40081535,891.3429,2.687927199,0,113747135,35.3,0,43.25343167,55.98220548,0,0,0,0,0,0,185194.4089,0,0,35349197,31.077,3.498878182,0
East Asia & Pacific (excluding high income),EAP,1992,83.88937622,46.8820522,7468039,20.81832056,11.82981499,1.771839024,0.758061936,1.109786254,3216890.329,1.947347484,3.637325015,116242.8077,21.43773668,682505.7474,68.67552404,2227733.749,0,0,2.657026174,28.65297418,4564252.6,0,0,11.53707138,1764651.861,57.26015069,17.42450691,667751.0938,59.69308297,2718516.718,1.407780466,0,1651934416,0,93.79496765,19.53110887,35.94393617,0,0,0,0.90385,0,0,8445016.691,0,0,490357040,29.68380789,4.220734847,0
Canada,CAN,1992,100,7.457406436,678140,0,5.010386528,0.440414663,0.51343723,0.756227698,440978.752,15.46230657,30.32281134,133717.155,44.84599521,197761.31,23.05997206,101689.577,0,0,0.806362924,38.2887136,3481788,0,0,8.082966688,83400.6,7.7,0.640516719,46370.42,-4.923347319,35486.6,1.2274176,0,28519597,0,0,61.67921442,21.92998463,0,0,0,0.992320001,0,0,618673.62,0,0,21927863,76.887,1.57528573,0
