Country Name,Country Code,Indicator Name,GDP,Year
Aruba,ABW,GDP (current US$),958463184.4,1992
Afghanistan,AFG,GDP (current US$),,1992
Angola,AGO,GDP (current US$),8307810974,1992
Albania,ALB,GDP (current US$),652174990.8,1992
Andorra,AND,GDP (current US$),1210013652,1992
Arab World,ARB,GDP (current US$),4.72E+11,1992
United Arab Emirates,ARE,GDP (current US$),54239171888,1992
Argentina,ARG,GDP (current US$),2.29E+11,1992
Armenia,ARM,GDP (current US$),1272577456,1992
American Samoa,ASM,GDP (current US$),,1992
Antigua and Barbuda,ATG,GDP (current US$),499281481.5,1992
Australia,AUS,GDP (current US$),3.25E+11,1992
Austria,AUT,GDP (current US$),1.95E+11,1992
Azerbaijan,AZE,GDP (current US$),4991350458,1992
Burundi,BDI,GDP (current US$),1083037671,1992
Belgium,BEL,GDP (current US$),2.35E+11,1992
Benin,BEN,GDP (current US$),1695315306,1992
Burkina Faso,BFA,GDP (current US$),2240264712,1992
Bangladesh,BGD,GDP (current US$),31708874594,1992
Bulgaria,BGR,GDP (current US$),10350515464,1992
Bahrain,BHR,GDP (current US$),4751063830,1992
"Bahamas, The",BHS,GDP (current US$),3109000000,1992
Bosnia and Herzegovina,BIH,GDP (current US$),,1992
Belarus,BLR,GDP (current US$),17037037037,1992
Belize,BLZ,GDP (current US$),518239100,1992
Bermuda,BMU,GDP (current US$),1679900000,1992
Bolivia,BOL,GDP (current US$),5643893347,1992
Brazil,BRA,GDP (current US$),4.01E+11,1992
Barbados,BRB,GDP (current US$),1957000000,1992
Brunei Darussalam,BRN,GDP (current US$),4183548189,1992
Bhutan,BTN,GDP (current US$),250794359.6,1992
Botswana,BWA,GDP (current US$),4146513722,1992
Central African Republic,CAF,GDP (current US$),1411917558,1992
Canada,CAN,GDP (current US$),5.92E+11,1992
Central Europe and the Baltics,CEB,GDP (current US$),2.60E+11,1992
Switzerland,CHE,GDP (current US$),2.72E+11,1992
Channel Islands,CHI,GDP (current US$),,1992
Chile,CHL,GDP (current US$),45964327559,1992
China,CHN,GDP (current US$),4.27E+11,1992
Cote d'Ivoire,CIV,GDP (current US$),11152971316,1992
Cameroon,CMR,GDP (current US$),11396310990,1992
"Congo, Dem. Rep.",COD,GDP (current US$),8227343907,1992
"Congo, Rep.",COG,GDP (current US$),2933222714,1992
Colombia,COL,GDP (current US$),58418985443,1992
Comoros,COM,GDP (current US$),457388578.9,1992
Cabo Verde,CPV,GDP (current US$),357160985.3,1992
Costa Rica,CRI,GDP (current US$),8528593421,1992
Caribbean small states,CSS,GDP (current US$),17570523339,1992
Cuba,CUB,GDP (current US$),22085858243,1992
Curacao,CUW,GDP (current US$),,1992
Cayman Islands,CYM,GDP (current US$),,1992
Cyprus,CYP,GDP (current US$),6912150456,1992
Czech Republic,CZE,GDP (current US$),34805013230,1992
Germany,DEU,GDP (current US$),2.13E+12,1992
Djibouti,DJI,GDP (current US$),478058304.9,1992
Dominica,DMA,GDP (current US$),234058259.3,1992
Denmark,DNK,GDP (current US$),1.53E+11,1992
Dominican Republic,DOM,GDP (current US$),11356271339,1992
Algeria,DZA,GDP (current US$),48003298223,1992
East Asia & Pacific (excluding high income),EAP,GDP (current US$),8.06E+11,1992
Early-demographic dividend,EAR,GDP (current US$),2.12E+12,1992
East Asia & Pacific,EAS,GDP (current US$),5.84E+12,1992
Europe & Central Asia (excluding high income),ECA,GDP (current US$),8.04E+11,1992
Europe & Central Asia,ECS,GDP (current US$),9.79E+12,1992
Ecuador,ECU,GDP (current US$),18094238119,1992
"Egypt, Arab Rep.",EGY,GDP (current US$),41855986519,1992
Euro area,EMU,GDP (current US$),6.74E+12,1992
Eritrea,ERI,GDP (current US$),477101651.6,1992
Spain,ESP,GDP (current US$),6.31E+11,1992
Estonia,EST,GDP (current US$),,1992
Ethiopia,ETH,GDP (current US$),10492993078,1992
European Union,EUU,GDP (current US$),7.40E+12,1992
Fragile and conflict affected situations,FCS,GDP (current US$),2.67E+11,1992
Finland,FIN,GDP (current US$),1.13E+11,1992
Fiji,FJI,GDP (current US$),1531803061,1992
France,FRA,GDP (current US$),1.40E+12,1992
Faroe Islands,FRO,GDP (current US$),,1992
"Micronesia, Fed. Sts.",FSM,GDP (current US$),178100000,1992
Gabon,GAB,GDP (current US$),5592390849,1992
United Kingdom,GBR,GDP (current US$),1.18E+12,1992
Georgia,GEO,GDP (current US$),3690328964,1992
Ghana,GHA,GDP (current US$),6413901602,1992
Gibraltar,GIB,GDP (current US$),,1992
Guinea,GIN,GDP (current US$),3284625277,1992
"Gambia, The",GMB,GDP (current US$),714255460.5,1992
Guinea-Bissau,GNB,GDP (current US$),226313443.7,1992
Equatorial Guinea,GNQ,GDP (current US$),134707184.4,1992
Greece,GRC,GDP (current US$),1.16E+11,1992
Grenada,GRD,GDP (current US$),310160444.4,1992
Greenland,GRL,GDP (current US$),1037921837,1992
Guatemala,GTM,GDP (current US$),10440842165,1992
Guam,GUM,GDP (current US$),,1992
Guyana,GUY,GDP (current US$),373573141.5,1992
High income,HIC,GDP (current US$),2.16E+13,1992
"Hong Kong SAR, China",HKG,GDP (current US$),1.04E+11,1992
Honduras,HND,GDP (current US$),4943700431,1992
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),1.29E+11,1992
Croatia,HRV,GDP (current US$),,1992
Haiti,HTI,GDP (current US$),2257121668,1992
Hungary,HUN,GDP (current US$),38730585922,1992
IBRD only,IBD,GDP (current US$),3.71E+12,1992
IDA & IBRD total,IBT,GDP (current US$),4.05E+12,1992
IDA total,IDA,GDP (current US$),3.36E+11,1992
