Country,Code,Year,CO2PerGDP,CO2Total,CO2PerCapita,Population,id
Afghanistan,AFG,1992,0,1393.46,0.099666474,13981231,4
Albania,ALB,1992,0.407160368,2515.562,0.774724911,3247039,8
Algeria,DZA,1992,0.439742803,80138.618,2.948322021,27181094,12
American Samoa,ASM,1992,0,0,0,49593,16
Andorra,AND,1992,0,407.037,6.912053389,58888,20
Angola,AGO,1992,0.191566522,5196.139,0.400678653,12968345,24
Antigua and Barbuda,ATG,1992,0.342281266,264.024,3.858476917,68427,28
Argentina,ARG,1992,0.39791328,121352.031,3.605749117,33655151,32
Armenia,ARM,1992,1.25358319,5826.863,1.692473009,3442810,51
Aruba,ABW,1992,0,1463.133,21.4425588,68235,533
Australia,AUS,1992,0.842202666,267984.36,15.31776851,17495000,36
Austria,AUT,1992,0.339899676,56658.817,7.226236428,7840709,40
Azerbaijan,AZE,1992,1.757700701,56240.779,7.61863709,7382000,31
"Bahamas, The",BHS,1992,0.358581613,1793.163,6.737820046,266134,44
Bahrain,BHR,1992,0.772327535,10901.991,20.84164011,523087,48
Bangladesh,BGD,1992,0.174110331,17748.28,0.159575353,111221938,50
Barbados,BRB,1992,0.426733032,979.089,3.734358313,262184,52
Belarus,BLR,1992,1.683398948,87417.613,8.556931578,10216000,112
Belgium,BEL,1992,0.547749683,111968.178,11.14648251,10045158,56
Belize,BLZ,1992,0.434155239,355.699,1.830508911,194317,84
Benin,BEN,1992,0.168318097,898.415,0.168501162,5331803,204
Bermuda,BMU,1992,0.291630036,462.042,7.885348579,58595,60
Bhutan,BTN,1992,0.24337075,216.353,0.407042002,531525,64
Bolivia,BOL,1992,0.358262979,6655.605,0.933241509,7131707,68
Bosnia and Herzegovina,BIH,1992,0,15053.035,3.550952619,4239154,70
Botswana,BWA,1992,0.329245471,2779.586,1.909275308,1455833,72
Brazil,BRA,1992,0.206979533,220705.729,1.427921974,154564278,76
British Virgin Islands,VGB,1992,0,69.673,4.017124077,17344,92
Brunei Darussalam,BRN,1992,0.322420377,5214.474,19.03349722,273963,96
Bulgaria,BGR,1992,1.334997247,54205.594,6.347137362,8540164,100
Burkina Faso,BFA,1992,0.113530859,630.724,0.067840845,9297113,854
Burundi,BDI,1992,0.050710803,216.353,0.038217221,5661139,108
Cabo Verde,CPV,1992,0.244305431,106.343,0.296145813,359090,132
Cambodia,KHM,1992,0,1349.456,0.140254164,9621504,116
Cameroon,CMR,1992,0.168134881,3788.011,0.305264893,12408931,120
Canada,CAN,1992,0.756227698,440978.752,15.46230657,28519597,124
Cayman Islands,CYM,1992,0,311.695,11.37406948,27404,136
Central African Republic,CAF,1992,0.125157803,216.353,0.069885817,3095807,140
Chad,TCD,1992,0.015924355,84.341,0.013283953,6349089,148
Chile,CHL,1992,0.422595737,32474.952,2.37545707,13671033,152
China,CHN,1992,1.820953524,2690455.898,2.309463675,1164970000,156
Colombia,COL,1992,0.327518923,62049.307,1.744983321,35558682,170
Comoros,COM,1992,0.142914851,66.006,0.151234511,436448,174
"Congo, Dem. Rep.",COD,1992,0.104786563,2816.256,0.075409546,37346147,180
"Congo, Rep.",COG,1992,0.14214229,1279.783,0.49661064,2577035,178
Costa Rica,CRI,1992,0.205565017,3791.678,1.163996186,3257466,188
Cote d'Ivoire,CIV,1992,0.153499139,4099.706,0.311456361,13163019,384
Croatia,HRV,1992,0,16417.159,3.672742506,4470000,191
Cuba,CUB,1992,0,31294.178,2.915598587,10733363,192
Curacao,CUW,1992,0,0,0,143912,531
Cyprus,CYP,1992,0.582093898,5181.471,6.471912007,800609,196
Czech Republic,CZE,1992,1.13593693,138176.227,13.3903072,10319123,203
Denmark,DNK,1992,0.530683914,54322.938,10.5045545,5171370,208
Djibouti,DJI,1992,0,311.695,0.506776641,615054,262
Dominica,DMA,1992,0.175270798,58.672,0.826715514,70970,212
Dominican Republic,DOM,1992,0.362039391,10923.993,1.46266565,7468551,214
Ecuador,ECU,1992,0.401162537,22280.692,2.081205403,10705667,218
"Egypt, Arab Rep.",EGY,1992,0.332208652,81264.387,1.353604755,60035536,818
El Salvador,SLV,1992,0.187296452,3318.635,0.614524369,5400331,222
Equatorial Guinea,GNQ,1992,0.405701596,157.681,0.346438961,455148,226
Eritrea,ERI,1992,0,0,0,3118582,232
Estonia,EST,1992,0,23879.504,15.57605126,1533091,233
Eswatini,SWZ,1992,0.079429858,264.024,0.291406283,906034,748
Ethiopia,ETH,1992,0.163347425,2966.603,0.057439133,51647768,231
Faroe Islands,FRO,1992,0,649.059,13.78015329,47101,234
Fiji,FJI,1992,0.247133288,748.068,1.004750642,744531,242
Finland,FIN,1992,0.545403871,47472.982,9.415521088,5041992,246
France,FRA,1992,0.328236422,365893.26,6.217259025,58851217,250
French Polynesia,PYF,1992,0,414.371,2.018702562,205266,258
